Tour,Year,WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,EXW,EXL,LBW,LBL,PSW,PSL,UBW,UBL
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Chakvetadze A.,Kleybanova A.,6.0,154.0,2880.0,224.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.06,8.0,1.07,7.19,1.05,8.5,1.121,8.45,1.1,6.75
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Hantuchova D.,Cornet A.,9.0,59.0,2367.0,506.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.11,6.0,1.15,5.2,1.1,6.5,1.175,6.2,1.13,5.6
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Wozniacki C.,Bondarenko A.,64.0,21.0,464.0,1171.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,2.3,1.57,2.25,1.6,2.25,1.571,2.22,1.758,2.28,1.6
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Petrova N.,Kremer A.,14.0,84.0,1862.0,388.0,7.0,5.0,7.0,5.0,,,2.0,0.0,Completed,1.08,7.0,1.1,6.75,1.1,6.5,1.131,7.95,1.1,6.75
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Srebotnik K.,Rodionova A.,27.0,79.0,971.0,397.0,6.0,4.0,6.0,1.0,,,2.0,0.0,Completed,1.1,6.5,1.15,5.2,1.125,5.5,1.135,7.7,1.12,5.85
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Lisicki S.,Koryttseva M.,194.0,104.0,152.0,336.0,6.0,1.0,7.0,5.0,,,2.0,0.0,Completed,1.72,2.0,1.73,2.03,3.0,1.364,1.885,2.03,1.75,2.05
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Li N.,Camerin M.E.,30.0,99.0,932.0,347.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.12,5.5,1.15,5.2,1.125,5.5,1.159,6.7,1.15,5.15
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Domachowska M.,Arvidsson S.,146.0,80.0,236.0,396.0,7.0,5.0,1.0,6.0,6.0,1.0,2.0,1.0,Completed,2.0,1.72,2.05,1.75,2.2,1.615,2.24,1.746,2.24,1.62
WTA,2008,5,Melbourne,Australian Open,2008-01-17,Grand Slam,Outdoor,Hard,2nd Round,3,Ivanovic A.,Garbin T.,3.0,40.0,3516.0,741.0,6.0,0.0,6.0,3.0,,,2.0,0.0,Completed,1.04,10.0,1.07,7.19,1.063,8.0,1.071,12.18,1.06,8.5
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Henin J.,Schiavone F.,1.0,24.0,6430.0,1101.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.02,12.0,1.03,10.5,1.03,10.0,1.025,28.5,1.03,12.0
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Vaidisova N.,Sugiyama A.,12.0,41.0,1977.0,729.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.06,8.0,1.1,6.75,1.083,7.0,1.087,10.5,1.06,8.5
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Hsieh S.W.,Rezai A.,158.0,69.0,215.0,449.0,6.0,2.0,6.0,7.0,6.0,4.0,2.0,1.0,Completed,3.5,1.28,3.22,1.32,3.4,1.3,3.7,1.333,3.7,1.26
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Jankovic J.,Razzano V.,4.0,29.0,3390.0,954.0,6.0,2.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,1.4,2.75,1.4,2.85,1.444,2.625,1.51,2.81,1.4,2.85
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Williams S.,Azarenka V.,7.0,25.0,2772.0,1026.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.0,1.15,4.92,1.143,5.0,1.183,5.95,1.2,4.35
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Dementieva E.,Peer S.,11.0,17.0,1985.0,1640.0,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,1.72,2.0,1.75,2.0,1.667,2.1,1.84,2.09,1.77,2.0
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Sharapova M.,Vesnina E.,5.0,55.0,2956.0,519.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,1.02,12.0,1.03,10.5,1.04,9.0,1.029,26.0,1.02,18.0
WTA,2008,5,Melbourne,Australian Open,2008-01-18,Grand Slam,Outdoor,Hard,3rd Round,3,Dellacqua C.,Mauresmo A.,78.0,18.0,398.0,1503.0,3.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,4.33,1.2,4.25,1.2,4.0,1.222,4.6,1.25,3.9,1.24
WTA,2008,5,Melbourne,Australian Open,2008-01-19,Grand Slam,Outdoor,Hard,3rd Round,3,Kirilenko M.,Chakvetadze A.,26.0,6.0,973.0,2880.0,6.0,7.0,6.0,1.0,6.0,2.0,2.0,1.0,Completed,3.25,1.33,3.0,1.35,3.0,1.364,3.33,1.395,3.2,1.33
WTA,2008,5,Melbourne,Australian Open,2008-01-19,Grand Slam,Outdoor,Hard,3rd Round,3,Radwanska A.,Kuznetsova S.,28.0,2.0,962.0,3810.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,5.0,1.14,4.67,1.17,4.333,1.2,5.71,1.192,4.6,1.18
WTA,2008,5,Melbourne,Australian Open,2008-01-19,Grand Slam,Outdoor,Hard,3rd Round,3,Ivanovic A.,Srebotnik K.,3.0,27.0,3516.0,971.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.14,5.0,1.17,4.67,1.143,5.0,1.16,6.65,1.18,4.6
WTA,2008,5,Melbourne,Australian Open,2008-01-19,Grand Slam,Outdoor,Hard,3rd Round,3,Williams V.,Mirza S.,8.0,32.0,2470.0,901.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,1.08,7.0,1.13,5.5,1.1,6.5,1.13,8.0,1.12,5.85
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,3rd Round,3,Domachowska M.,Li N.,146.0,30.0,236.0,932.0,2.0,6.0,6.0,2.0,6.0,4.0,2.0,1.0,Completed,4.0,1.22,4.25,1.2,4.333,1.2,4.36,1.273,4.35,1.2
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,3rd Round,3,Wozniacki C.,Lisicki S.,64.0,194.0,464.0,152.0,4.0,6.0,6.0,4.0,6.0,3.0,2.0,1.0,Completed,1.44,2.62,1.45,2.6,1.4,2.75,1.442,3.06,1.42,2.8
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,3rd Round,3,Petrova N.,Makarova E.,14.0,110.0,1862.0,321.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.28,3.5,1.3,3.45,1.25,3.75,1.422,3.17,1.32,3.3
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,3rd Round,3,Hantuchova D.,Ruano Pascual V.,9.0,82.0,2367.0,389.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.05,9.0,1.1,6.25,1.1,6.5,1.095,9.5,1.08,7.5
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,4th Round,3,Henin J.,Hsieh S.W.,1.0,158.0,6430.0,215.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.01,15.0,1.02,11.5,1.013,15.0,1.014,51.0,1.01,25.0
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,4th Round,3,Sharapova M.,Dementieva E.,5.0,11.0,2956.0,1985.0,6.0,2.0,6.0,0.0,,,2.0,0.0,Completed,1.22,4.0,1.23,3.89,1.222,4.0,1.25,4.6,1.2,4.3
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,4th Round,3,Williams S.,Vaidisova N.,7.0,12.0,2772.0,1977.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.36,3.0,1.37,2.92,1.364,3.0,1.444,3.05,1.39,2.9
WTA,2008,5,Melbourne,Australian Open,2008-01-20,Grand Slam,Outdoor,Hard,4th Round,3,Jankovic J.,Dellacqua C.,4.0,78.0,3390.0,398.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.16,4.5,1.25,3.75,1.2,4.333,1.233,4.9,1.22,4.1
WTA,2008,5,Melbourne,Australian Open,2008-01-21,Grand Slam,Outdoor,Hard,4th Round,3,Ivanovic A.,Wozniacki C.,3.0,64.0,3516.0,464.0,6.0,1.0,7.0,6.0,,,2.0,0.0,Completed,1.07,7.5,1.08,7.0,1.083,7.0,1.077,11.5,1.08,7.5
WTA,2008,5,Melbourne,Australian Open,2008-01-21,Grand Slam,Outdoor,Hard,4th Round,3,Hantuchova D.,Kirilenko M.,9.0,26.0,2367.0,973.0,1.0,6.0,6.0,4.0,6.0,4.0,2.0,1.0,Completed,1.61,2.2,1.6,2.3,1.571,2.25,1.68,2.37,1.55,2.38
WTA,2008,5,Melbourne,Australian Open,2008-01-21,Grand Slam,Outdoor,Hard,4th Round,3,Radwanska A.,Petrova N.,28.0,14.0,962.0,1862.0,1.0,6.0,7.0,5.0,6.0,0.0,2.0,1.0,Completed,1.61,2.2,1.6,2.25,1.667,2.1,1.676,2.38,1.64,2.2
WTA,2008,5,Melbourne,Australian Open,2008-01-21,Grand Slam,Outdoor,Hard,4th Round,3,Williams V.,Domachowska M.,8.0,146.0,2470.0,236.0,6.0,4.0,6.0,4.0,,,2.0,0.0,Completed,1.07,7.5,1.09,6.68,1.071,7.5,1.087,10.5,1.08,7.5
WTA,2008,5,Melbourne,Australian Open,2008-01-22,Grand Slam,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Williams S.,4.0,7.0,3390.0,2772.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,2.5,1.5,4.33,1.22,4.0,1.222,4.34,1.275,3.85,1.24
WTA,2008,5,Melbourne,Australian Open,2008-01-22,Grand Slam,Outdoor,Hard,Quarterfinals,3,Sharapova M.,Henin J.,5.0,1.0,2956.0,6430.0,6.0,4.0,6.0,0.0,,,2.0,0.0,Completed,2.5,1.53,2.57,1.51,2.375,1.533,2.64,1.575,2.4,1.55
WTA,2008,5,Melbourne,Australian Open,2008-01-23,Grand Slam,Outdoor,Hard,Quarterfinals,3,Hantuchova D.,Radwanska A.,9.0,28.0,2367.0,962.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.9,1.9,1.83,1.91,1.8,1.909,1.971,1.935,2.0,1.77
WTA,2008,5,Melbourne,Australian Open,2008-01-23,Grand Slam,Outdoor,Hard,Quarterfinals,3,Ivanovic A.,Williams V.,3.0,8.0,3516.0,2470.0,7.0,6.0,6.0,4.0,,,2.0,0.0,Completed,2.25,1.61,2.2,1.65,2.1,1.667,2.36,1.685,2.14,1.68
WTA,2008,5,Melbourne,Australian Open,2008-01-24,Grand Slam,Outdoor,Hard,Semifinals,3,Sharapova M.,Jankovic J.,5.0,4.0,2956.0,3390.0,6.0,3.0,6.0,1.0,,,2.0,0.0,Completed,1.14,5.5,1.16,5.29,1.167,4.5,1.194,5.65,1.16,5.0
WTA,2008,5,Melbourne,Australian Open,2008-01-24,Grand Slam,Outdoor,Hard,Semifinals,3,Ivanovic A.,Hantuchova D.,3.0,9.0,3516.0,2367.0,0.0,6.0,6.0,3.0,6.0,4.0,2.0,1.0,Completed,1.25,4.0,1.3,3.53,1.286,3.5,1.29,4.15,1.3,3.45
WTA,2008,5,Melbourne,Australian Open,2008-01-26,Grand Slam,Outdoor,Hard,The Final,3,Sharapova M.,Ivanovic A.,5.0,3.0,2956.0,3516.0,7.0,5.0,6.0,3.0,,,2.0,0.0,Completed,1.2,4.5,1.21,4.54,1.2,4.333,1.234,4.87,1.21,4.3
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Yakimova A.,Hsieh S.W.,168.0,105.0,178.0,323.0,6.0,7.0,7.0,5.0,6.0,4.0,2.0,1.0,Completed,1.53,2.37,1.5,2.45,1.615,2.2,1.621,2.51,1.56,2.36
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Safarova L.,Kloesel S.,41.0,123.0,641.0,286.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.28,3.5,1.2,4.25,1.25,3.75,1.265,4.48,1.24,3.9
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Ivanovic A.,Arvidsson S.,2.0,52.0,3922.0,540.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,1.03,11.0,1.04,9.25,1.04,9.0,1.048,17.0,1.05,9.5
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Benesova I.,Vaidisova N.,70.0,16.0,435.0,1435.0,7.0,6.0,6.0,1.0,,,2.0,0.0,Completed,1.9,1.8,1.87,1.87,1.833,1.833,2.09,1.84,1.92,1.84
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Sfar S.,Dubois S.,241.0,95.0,110.0,342.0,7.0,5.0,6.0,2.0,,,2.0,0.0,Completed,1.57,2.25,,,1.667,2.1,1.602,2.56,1.58,2.32
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Zakopalova K.,Razzano V.,55.0,28.0,521.0,1030.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,2.1,1.66,2.15,1.65,2.1,1.667,2.12,1.82,2.0,1.77
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Wozniacki C.,Meusburger Y.,34.0,91.0,775.0,347.0,6.0,0.0,6.0,2.0,,,2.0,0.0,Completed,1.07,7.5,1.07,7.19,1.083,7.0,1.08,11.0,1.06,9.0
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Makarova E.,Castano C.,66.0,124.0,455.0,285.0,7.0,5.0,6.0,1.0,,,2.0,0.0,Completed,2.1,1.66,1.91,1.83,2.1,1.667,2.22,1.758,2.18,1.65
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Johansson M.,Pin C.,129.0,72.0,277.0,423.0,6.0,4.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.9,1.8,2.0,1.75,1.909,1.8,1.962,1.943,1.91,1.85
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Cibulkova D.,Kerber A.,31.0,94.0,933.0,342.0,6.0,2.0,6.0,2.0,,,2.0,0.0,Completed,1.07,7.5,1.07,7.19,1.1,6.5,1.08,11.0,1.05,9.5
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Voskoboeva G.,Fedossova Y.,101.0,207.0,335.0,137.0,6.0,0.0,6.0,7.0,6.0,1.0,2.0,1.0,Completed,1.28,3.5,1.28,3.46,1.333,3.25,1.292,4.12,1.28,3.55
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Cornet A.,Vakulenko J.,20.0,76.0,1160.0,408.0,7.0,5.0,6.0,4.0,,,2.0,0.0,Completed,1.11,6.0,1.1,6.25,1.143,5.0,1.131,7.95,1.1,6.75
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Sequera M.,Osterloh L.,156.0,122.0,201.0,288.0,7.0,6.0,7.0,5.0,,,2.0,0.0,Completed,1.66,2.1,1.65,2.2,1.667,2.1,1.629,2.49,,
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Williams S.,Harkleroad A.,5.0,61.0,2836.0,495.0,6.0,2.0,6.0,1.0,,,2.0,0.0,Completed,1.04,10.0,1.04,9.25,1.03,10.0,1.03,24.0,1.02,15.0
WTA,2008,27,Paris,French Open,2008-05-25,Grand Slam,Outdoor,Clay,1st Round,3,Dechy N.,Ditty J.,88.0,100.0,358.0,336.0,7.0,5.0,7.0,6.0,,,2.0,0.0,Completed,1.25,3.75,1.3,3.35,1.3,3.4,1.302,4.01,1.25,3.8
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Loit E.,Yan Z.,108.0,42.0,317.0,625.0,1.0,6.0,6.0,4.0,7.0,6.0,2.0,1.0,Completed,2.5,1.5,2.4,1.53,2.25,1.571,2.78,1.524,2.5,1.5
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Pavlyuchenkova A.,Salerni M.E.,188.0,97.0,158.0,338.0,6.0,1.0,6.0,1.0,,,2.0,0.0,Completed,1.22,4.0,1.3,3.34,1.25,3.75,1.269,4.42,1.29,3.5
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Bacsinszky T.,Paszek T.,63.0,46.0,489.0,567.0,1.0,6.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,1.57,2.25,1.7,2.1,1.727,2.0,1.676,2.38,1.65,2.18
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Jankovic J.,Niculescu M.,3.0,86.0,3755.0,365.0,7.0,6.0,6.0,2.0,,,2.0,0.0,Completed,1.01,15.0,1.01,13.5,1.03,10.0,1.018,36.0,1.02,15.0
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Knapp K.,Muller M.,38.0,84.0,695.0,373.0,6.0,0.0,6.0,4.0,,,2.0,0.0,Completed,1.5,2.5,1.5,2.45,1.571,2.25,1.538,2.76,1.54,2.4
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Pandzic J.,Bremond S.,189.0,117.0,155.0,306.0,4.0,6.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,2.75,1.4,2.9,1.35,2.75,1.4,2.59,1.592,2.75,1.43
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Szavay A.,Morita A.,13.0,109.0,1682.0,315.0,6.0,1.0,4.0,6.0,6.0,4.0,2.0,1.0,Completed,1.07,7.5,1.1,6.75,1.111,6.0,1.091,10.0,1.08,7.5
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Schnyder P.,Bychkova E.,11.0,99.0,1830.0,336.0,6.0,3.0,6.0,4.0,,,2.0,0.0,Completed,1.11,6.0,1.11,5.84,1.143,5.0,1.136,7.65,1.11,6.25
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Williams V.,Obziler T.,7.0,93.0,2606.0,344.0,6.0,3.0,4.0,6.0,6.0,2.0,2.0,1.0,Completed,1.02,13.0,1.03,10.5,1.04,9.0,1.033,23.5,,
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Cetkovska P.,Bondarenko A.,77.0,27.0,405.0,1046.0,6.0,3.0,6.0,0.0,,,2.0,0.0,Completed,4.0,1.22,4.25,1.2,4.5,1.167,4.09,1.295,4.3,1.2
WTA,2008,27,Paris,French Open,2008-05-26,Grand Slam,Outdoor,Clay,1st Round,3,Dulko G.,Errani S.,40.0,53.0,642.0,537.0,6.0,4.0,4.0,6.0,7.0,5.0,2.0,1.0,Completed,1.36,3.0,1.35,3.1,1.364,3.0,1.397,3.32,1.35,3.1
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Mauresmo A.,Savchuk O.,29.0,81.0,1017.0,389.0,7.0,5.0,4.0,6.0,6.0,1.0,2.0,1.0,Completed,1.14,5.0,1.2,4.25,1.143,5.0,1.198,5.56,1.18,4.6
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Kuznetsova S.,Nakamura A.,4.0,71.0,3365.0,427.0,6.0,2.0,6.0,3.0,,,2.0,0.0,Completed,1.02,13.0,1.03,10.5,1.03,10.0,1.032,24.55,1.02,15.0
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Sugiyama A.,Kudryavtseva A.,35.0,102.0,752.0,332.0,6.0,1.0,2.0,6.0,6.0,3.0,2.0,1.0,Completed,1.36,3.0,1.39,2.83,1.364,3.0,1.383,3.41,1.32,3.25
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Suarez Navarro C.,Parmentier P.,132.0,47.0,272.0,565.0,6.0,4.0,5.0,7.0,6.0,2.0,2.0,1.0,Completed,1.66,2.1,1.8,1.95,1.727,2.0,1.746,2.24,1.67,2.15
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Safina D.,Bondarenko K.,14.0,57.0,1662.0,512.0,6.0,1.0,6.0,3.0,,,2.0,0.0,Completed,1.08,7.0,1.12,5.84,1.111,6.0,1.111,8.75,1.1,6.75
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Lisicki S.,Vesnina E.,83.0,45.0,379.0,613.0,3.0,6.0,6.0,4.0,6.0,0.0,2.0,1.0,Completed,1.66,2.1,1.65,2.15,1.727,2.0,1.746,2.24,1.72,2.07
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Sanchez O.,Gajdosova J.,114.0,195.0,307.0,147.0,7.0,6.0,7.0,6.0,,,2.0,0.0,Completed,2.62,1.44,2.53,1.48,2.375,1.533,2.76,1.538,2.52,1.5
WTA,2008,27,Paris,French Open,2008-05-27,Grand Slam,Outdoor,Clay,1st Round,3,Radwanska A.,Koryttseva M.,15.0,65.0,1638.0,485.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.1,6.5,1.1,6.75,1.125,5.5,1.13,8.0,1.1,6.0
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Sharapova M.,Rodina E.,1.0,103.0,4116.0,328.0,6.0,1.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,1.01,15.0,1.01,13.5,1.02,11.0,1.018,36.0,1.02,15.0
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Schiavone F.,Craybas J.,19.0,62.0,1201.0,490.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.12,5.5,1.15,5.2,1.167,4.5,1.157,6.75,1.12,6.0
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Mamic S.,Krajicek M.,334.0,44.0,65.0,615.0,6.0,4.0,6.0,3.0,,,2.0,0.0,Completed,1.66,2.1,1.7,2.1,1.833,1.833,1.699,2.33,1.77,2.0
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Govortsova O.,Fedak Y.,37.0,139.0,704.0,258.0,7.0,5.0,2.0,6.0,6.0,3.0,2.0,1.0,Completed,1.28,3.5,1.3,3.35,1.286,3.5,1.347,3.68,1.3,3.4
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Dementieva E.,Dushevina V.,8.0,48.0,2590.0,564.0,6.0,7.0,6.0,0.0,6.0,2.0,2.0,1.0,Completed,1.1,6.5,1.11,5.84,1.111,6.0,1.111,8.75,1.1,6.75
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Rybarikova M.,Sprem K.,158.0,345.0,198.0,62.0,7.0,6.0,3.0,6.0,7.0,6.0,2.0,1.0,Completed,1.57,2.25,1.6,2.25,1.667,2.1,1.641,2.46,1.58,2.33
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Mattek B.,Brengle M.,106.0,249.0,321.0,103.0,6.0,3.0,2.0,6.0,6.0,4.0,2.0,1.0,Completed,1.19,4.33,1.23,3.89,1.25,3.75,1.267,4.45,1.22,4.1
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,King V.,Huck V.,113.0,268.0,307.0,96.0,4.0,6.0,6.0,2.0,6.0,1.0,2.0,1.0,Completed,1.25,3.75,1.25,3.75,1.3,3.4,1.306,3.97,1.26,3.7
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Domachowska M.,De Los Rios R.,73.0,89.0,417.0,358.0,3.0,6.0,6.0,3.0,6.0,1.0,2.0,1.0,Completed,1.4,2.75,1.45,2.6,1.5,2.5,1.465,2.95,1.43,2.72
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Amanmuradova A.,Wickmayer Y.,50.0,98.0,557.0,338.0,6.0,2.0,7.0,5.0,,,2.0,0.0,Completed,2.0,1.72,1.95,1.8,1.833,1.833,1.98,1.926,,
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Pennetta F.,Perebiynis T.,30.0,60.0,999.0,495.0,6.0,3.0,6.0,2.0,,,2.0,0.0,Completed,1.4,2.75,1.4,2.85,1.4,2.75,1.524,2.78,1.38,2.95
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Dellacqua C.,Bartoli M.,51.0,9.0,555.0,2173.0,6.0,7.0,6.0,3.0,6.0,2.0,2.0,1.0,Completed,3.25,1.33,3.28,1.31,3.25,1.333,3.43,1.38,,
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Srebotnik K.,Ruano Pascual V.,24.0,74.0,1060.0,415.0,6.0,4.0,6.0,2.0,,,2.0,0.0,Completed,1.11,6.0,1.15,5.2,1.143,5.0,1.139,7.47,1.11,6.25
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Erakovic M.,Garbin T.,80.0,56.0,392.0,512.0,6.0,7.0,6.0,3.0,6.0,3.0,2.0,1.0,Completed,2.75,1.4,2.75,1.42,2.625,1.444,3.16,1.424,2.78,1.42
WTA,2008,27,Paris,French Open,2008-05-28,Grand Slam,Outdoor,Clay,1st Round,3,Chakvetadze A.,Llagostera Vives N.,6.0,82.0,2731.0,384.0,6.0,3.0,5.0,7.0,6.0,1.0,2.0,1.0,Completed,1.14,5.0,1.15,5.2,1.143,5.0,1.196,5.6,1.18,4.6
